jd_night,sindex
2444550.5,0.2005
2444574.5,0.2
2444575.5,0.2005
2444575.5,0.1974
2444576.5,0.2
2444576.5,0.1965
2444577.5,0.1988
2444577.5,0.2078
2444578.5,0.1908
2444584.5,0.1929
2444590.5,0.1986
2444594.5,0.195
2444600.5,0.1914
2444604.5,0.1961
2444606.5,0.1928
2444612.5,0.1889
2444625.5,0.1881
2444626.5,0.1906
2444631.5,0.1924
2444635.5,0.1857
2444636.5,0.1942
2444636.5,0.1907
2444639.5,0.196
2444640.5,0.1904
2444642.5,0.1894
2444643.5,0.1917
2444646.5,0.1875
2444647.5,0.1856
2444659.5,0.192
2444664.5,0.1964
2444667.5,0.2005
2444671.5,0.1955
2444671.5,0.188
2444678.5,0.1917
2444680.5,0.1882
2444681.5,0.185
2444685.5,0.1929
2444686.5,0.1874
2444693.5,0.1942
2444694.5,0.1934
2444695.5,0.1988
2444695.5,0.1972
2444698.5,0.2005
2444699.5,0.1925
2444705.5,0.1976
2444713.5,0.1909
2444722.5,0.1933
2444727.5,0.1924
2444728.5,0.2005
2444728.5,0.1937
2444729.5,0.2012
2444730.5,0.2
2444730.5,0.1966
2444731.5,0.195
2444732.5,0.1945
2444733.5,0.1877
2444738.5,0.1894
2444739.5,0.1917
2444740.5,0.1997
2444742.5,0.1885
2444748.5,0.1877
2444756.5,0.188
2444756.5,0.1848
2444757.5,0.188
2444757.5,0.1839
2444758.5,0.1868
2444761.5,0.1901
2444762.5,0.188
2444763.5,0.1873
2444764.5,0.1803
2444766.5,0.1863
2444767.5,0.186
2444768.5,0.191
2444775.5,0.1913
2444786.5,0.1887
2444787.5,0.1875
2444788.5,0.187
2444789.5,0.1861
2444803.5,0.1865
2444804.5,0.1909
2444822.5,0.1858
2444823.5,0.187
2444831.5,0.1942
2444832.5,0.1939
2444833.5,0.1974
2444852.5,0.2007
2444853.5,0.2012
2444866.5,0.1966
2444867.5,0.1947
2444881.5,0.2012
2444886.5,0.1951
2444887.5,0.1972
2444893.5,0.2036
2444894.5,0.204
2444895.5,0.2029
2444895.5,0.2039
2444902.5,0.193
2444909.5,0.198
2444910.5,0.2019
2444910.5,0.1987
