name;tbjd;mjd;s-index;err_s-index;h;k;v;r;bad_prog_flag;filename;s-index_mw;err_s-index_mw
0;;53153.3049721;0.203685721254;0.0157227556029;89.1130785605;80.5725315033;4554.32519205;10774.2663555;False;HARPS.2004-05-28T07:19:09.589_s1d_A.fits;0.261569854818;0.017545646864
1;;53232.0504394;0.209092954601;0.0256330222377;32.7129649767;34.582616897;1765.44005075;4156.51322042;False;HARPS.2004-08-15T01:12:37.968_s1d_A.fits;0.267604001071;0.0286049066461
2;;53237.070415;0.196332131237;0.0276769185963;28.8078011206;22.0499041051;1320.07884828;3446.24121485;False;HARPS.2004-08-20T01:41:23.852_s1d_A.fits;0.253363691924;0.0308857716955
3;;53263.0473025;0.21466680009;0.0123784772658;158.215351921;146.036172002;7577.52558634;18501.1602553;False;HARPS.2004-09-15T01:08:06.933_s1d_A.fits;0.273824076426;0.013813633965
4;;53265.0154115;0.213777099275;0.0128081949387;145.268204339;136.546200363;7022.49778025;17233.5383625;False;HARPS.2004-09-17T00:22:11.554_s1d_A.fits;0.272831223983;0.0142931729676
5;;53271.9934763;0.213643324566;0.023019329988;45.0696339418;42.0682205164;2186.39474223;5318.34019528;False;HARPS.2004-09-23T23:50:36.357_s1d_A.fits;0.272681939476;0.025688183752
6;;53465.3774954;0.243199903267;0.012676431456;192.048212239;180.888728719;8232.30855368;19983.3264915;False;HARPS.2005-04-05T09:03:35.602_s1d_A.fits;0.305665298469;0.0141461328688
7;;53466.3616526;0.238555062242;0.0171402864696;103.682547633;92.533959081;4387.98805461;10746.395134;False;HARPS.2005-04-06T08:40:46.781_s1d_A.fits;0.300481936059;0.0191275258065
8;;53484.3571102;0.232094299782;0.01483011146;126.447498742;121.570939839;5710.6449641;13951.7908397;False;HARPS.2005-04-24T08:34:14.326_s1d_A.fits;0.293272114865;0.0165495098444
9;;53490.3822617;0.241804106692;0.0158591008792;119.747339717;115.779464083;5207.81423061;12714.5165735;False;HARPS.2005-04-30T09:10:27.410_s1d_A.fits;0.304107673685;0.0176977999681
10;;53547.1861211;0.249209915402;0.0192424773387;85.6772635625;84.3236606174;3681.70446556;8870.03128644;False;HARPS.2005-06-26T04:28:00.866_s1d_A.fits;0.312372109491;0.0214734440134
11;;53573.1614986;0.241460003669;0.0163961623883;112.710657815;107.008580242;4922.5718273;11820.7145092;False;HARPS.2005-07-22T03:52:33.483_s1d_A.fits;0.303723675467;0.018297128217
12;;53576.1160131;0.246734707233;0.018301751681;94.0847302545;90.1027644238;4039.29440774;9696.3082567;False;HARPS.2005-07-25T02:47:03.528_s1d_A.fits;0.309609926477;0.0204236509234
13;;53864.2746303;0.206699937631;0.0130279811015;133.386064951;121.166795923;6600.00731469;16059.7607229;False;HARPS.2006-05-09T06:35:28.061_s1d_A.fits;0.264933538479;0.0145384410679
14;;53866.2613039;0.207934508237;0.00978077719139;237.235625928;219.838622423;11807.1569083;28639.0693625;False;HARPS.2006-05-11T06:16:16.660_s1d_A.fits;0.266311244807;0.010914757374
15;;53871.3628505;0.208780697746;0.0134542501033;126.148976205;117.386251249;6207.77543558;15255.1674205;False;HARPS.2006-05-16T08:42:30.282_s1d_A.fits;0.267255541256;0.0150141315616
16;;53882.25273;0.226175360876;0.00972921493253;280.090152699;266.977268887;12944.6365912;31560.8326085;False;HARPS.2006-05-27T06:03:55.874_s1d_A.fits;0.286666936072;0.0108572170033
17;;53883.2660641;0.225399949438;0.0120772056605;178.47662375;174.107285825;8382.47327988;20399.893142;False;HARPS.2006-05-28T06:23:07.937_s1d_A.fits;0.28580162368;0.0134774330261
18;;53886.2724137;0.221354190917;0.0113472396983;196.943877125;188.169387677;9297.07306022;22715.3503007;False;HARPS.2006-05-31T06:32:16.540_s1d_A.fits;0.281286801209;0.0126628350434
19;;53917.2579343;0.230729521057;0.0183820110588;81.2285679979;78.29774246;3717.29261167;9004.46097657;False;HARPS.2006-07-01T06:11:25.526_s1d_A.fits;0.29174910413;0.0205132155479
20;;53919.2401055;0.210687795988;0.0173663746407;75.5417184595;73.3275414094;3803.08764096;9198.11334814;False;HARPS.2006-07-03T05:45:45.116_s1d_A.fits;0.26938374786;0.0193798265679
21;;53921.1694896;0.206748961192;0.0127876638519;135.398599036;128.937772638;6844.32759075;16680.7687906;False;HARPS.2006-07-05T04:04:03.901_s1d_A.fits;0.264988245816;0.0142702615131
22;;53944.111747;0.218024800824;0.019391508648;65.5930717609;62.3168937415;3131.15276465;7663.68964021;False;HARPS.2006-07-28T02:40:54.937_s1d_A.fits;0.277571402692;0.021639753965
23;;53947.1172787;0.177805662091;0.0392869001679;11.3005848428;9.38044871203;625.477496885;1514.67379489;False;HARPS.2006-07-31T02:48:52.880_s1d_A.fits;0.232689269865;0.043841810821
24;;53950.1552849;0.197054547502;0.013026091433;117.366517526;113.931026197;6217.23014033;15380.2151277;False;HARPS.2006-08-03T03:43:36.616_s1d_A.fits;0.2541698649;0.0145363323118
25;;54196.4044606;0.224928746991;0.0126714575387;165.214141562;153.729229048;7548.63237837;18542.1101244;False;HARPS.2007-04-06T09:42:25.398_s1d_A.fits;0.285275790172;0.0141405822771
26;;54234.3701109;0.214201358156;0.0131083187981;140.035452611;130.09716993;6692.31659996;16512.2059929;False;HARPS.2007-05-14T08:52:57.584_s1d_A.fits;0.273304671303;0.0146280930914
27;;54258.2561436;0.21016352053;0.0119457668269;161.277243643;151.776548645;7979.39588482;19428.7373801;False;HARPS.2007-06-07T06:08:50.810_s1d_A.fits;0.268798688072;0.0133307552161
28;;54316.0707639;0.224812636476;0.0166738847266;95.1561237821;88.8540932935;4402.13039335;10658.357519;False;HARPS.2007-08-04T01:41:54.001_s1d_A.fits;0.285146217841;0.0186070495944
29;;54571.40434;0.231367773961;0.0175080560354;89.0739374347;87.7564083378;4081.92595103;9980.87245216;False;HARPS.2008-04-15T09:42:14.972_s1d_A.fits;0.292461355872;0.0195379344583
30;;54611.3581268;0.219683991829;0.0118784675413;178.998957164;167.124055574;8308.55118975;20681.5603854;False;HARPS.2008-05-25T08:35:42.154_s1d_A.fits;0.279422959772;0.0132556532729
31;;54616.3514361;0.210052260843;0.0156662564162;94.9716426076;86.8535386803;4574.3701866;11353.0153234;False;HARPS.2008-05-30T08:26:04.082_s1d_A.fits;0.268674528973;0.0174825971796
